City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,16.54,84,1,10.28,PT,1674437030
1,matamoros,25.5333,-103.25,18.06,16,0,0.0,MX,1674437030
2,ulladulla,-35.35,150.4667,21.79,65,49,4.49,AU,1674436838
3,butaritari,3.0707,172.7902,27.12,75,92,5.56,KI,1674437031
4,palmeirais,-5.9778,-43.0633,24.6,79,11,0.98,BR,1674437032
5,nola,40.922,14.5329,6.63,85,100,1.47,IT,1674437032
6,arraial do cabo,-22.9661,-42.0278,23.77,88,100,5.63,BR,1674437032
7,rikitea,-23.1203,-134.9692,26.36,76,11,7.36,PF,1674437033
8,sibolga,1.7427,98.7792,24.38,92,100,0.33,ID,1674437033
9,varkkallai,8.7341,76.7067,25.88,76,100,2.3,IN,1674437034
10,nouadhibou,20.931,-17.0347,16.99,67,0,9.26,MR,1674437034
11,bluff,-46.6,168.3333,13.63,58,71,4.96,NZ,1674437035
12,ushuaia,-54.8,-68.3,9.81,66,0,2.57,AR,1674437035
13,cam ranh,11.9214,109.1591,26.98,69,20,5.66,VN,1674437036
14,atuona,-9.8,-139.0333,26.06,78,100,8.5,PF,1674437036
15,saint george,37.1041,-113.5841,3.57,36,100,7.15,US,1674437037
16,carutapera,-1.195,-46.02,24.11,93,28,3.15,BR,1674437037
17,ambon,-3.6954,128.1814,30.08,70,40,1.54,ID,1674437037
18,torbay,47.6666,-52.7314,-3.74,91,20,7.2,CA,1674437038
19,mataura,-46.1927,168.8643,17.69,36,9,3.21,NZ,1674437038
20,khatanga,71.9667,102.5,-41.54,96,15,1.44,RU,1674437039
21,thaba-tseka,-29.522,28.6084,14.54,69,96,1.29,LS,1674437039
22,flinders,-34.5833,150.8552,25.66,65,54,3.13,AU,1674436757
23,cayenne,4.9333,-52.3333,26.02,83,75,5.14,GF,1674437040
24,kodiak,57.79,-152.4072,2.73,93,100,4.63,US,1674437041
25,qaanaaq,77.484,-69.3632,-32.87,69,98,3.33,GL,1674437041
26,ouallam,14.3188,2.0866,24.01,15,0,3.71,NE,1674437042
27,acarau,-2.8856,-40.12,25.73,84,93,5.45,BR,1674437042
28,saint-joseph,-21.3667,55.6167,23.21,87,100,1.91,RE,1674437043
29,hilo,19.7297,-155.09,27.93,78,20,4.12,US,1674437044
30,barrow,71.2906,-156.7887,-19.99,77,100,6.17,US,1674437044
31,walvis bay,-22.9575,14.5053,18.35,86,100,3.44,NA,1674437044
32,thompson,55.7435,-97.8558,-8.91,92,100,6.17,CA,1674437045
33,klaksvik,62.2266,-6.589,6.51,77,100,9.85,FO,1674437045
34,vaini,-21.2,-175.2,31.09,74,20,3.09,TO,1674437046
35,bubaque,11.2833,-15.8333,23.21,71,0,8.35,GW,1674437046
36,talnakh,69.4865,88.3972,-25.59,98,99,0.66,RU,1674437047
37,chilca,-12.5211,-76.7372,21.39,83,100,2.3,PE,1674437047
38,hermanus,-34.4187,19.2345,20.45,86,0,3.16,ZA,1674437047
39,garissa,-0.4536,39.6401,24.59,77,100,2.85,KE,1674437048
40,talcahuano,-36.7167,-73.1167,17.82,77,0,5.66,CL,1674437048
41,albany,42.6001,-73.9662,1.14,90,100,1.64,US,1674437049
42,airai,-8.9266,125.4092,18.48,80,100,0.76,TL,1674437049
43,cape town,-33.9258,18.4232,19.95,76,0,3.6,ZA,1674436814
44,busselton,-33.65,115.3333,27.74,38,0,2.16,AU,1674437050
45,georgetown,5.4112,100.3354,26.96,82,20,1.54,MY,1674436935
46,bilma,18.6853,12.9164,19.01,14,33,2.78,NE,1674437051
47,kapaa,22.0752,-159.319,26.38,71,75,2.06,US,1674437051
48,punta arenas,-53.15,-70.9167,13.06,47,0,1.03,CL,1674437052
49,souillac,-20.5167,57.5167,25.21,94,75,1.03,MU,1674437052
50,abonnema,4.7084,6.7931,26.45,80,19,2.27,NG,1674437052
51,tuatapere,-46.1333,167.6833,15.1,52,9,3.77,NZ,1674437053
52,clyde river,70.4692,-68.5914,-31.87,68,100,10.8,CA,1674437053
